year,country,iso3,currency_code,region,decade,gasoline_usd_per_liter,gasoline_usd_per_gallon,gasoline_real_2024usd,diesel_usd_per_liter,diesel_real_2024usd,lpg_usd_per_liter,gasoline_local_currency,gasoline_yoy_pct_change,diesel_yoy_pct_change,price_tier,tax_pct_of_pump_price,pretax_price_usd_ltr,subsidy_flag,subsidy_regime,is_oil_producer,crude_oil_usd_per_barrel,crude_oil_usd_per_liter,refinery_margin_usd_ltr,oil_price_shock_idx,us_cpi,inflation_deflator_2024
1924,Argentina,ARG,ARS,Latin America,1920s,0.0124,0.0469,0.2277,0.0101,0.1855,0.0059,11.16,,,Very Low (<$0.30),14.0,0.0107,0,heavy,1,1.43,0.009,0.0034,1.0,17.1,18.3626
1925,Argentina,ARG,ARS,Latin America,1920s,0.0121,0.0458,0.2171,0.0098,0.1758,0.0056,10.89,-2.42,-2.97,Very Low (<$0.30),14.0,0.0104,0,heavy,1,1.68,0.0106,0.0015,1.0,17.5,17.9429
1926,Argentina,ARG,ARS,Latin America,1920s,0.0125,0.0473,0.2218,0.0102,0.1809,0.0062,11.25,3.31,4.08,Very Low (<$0.30),14.0,0.0108,0,heavy,1,1.88,0.0118,0.0007,1.0,17.7,17.7401
1927,Argentina,ARG,ARS,Latin America,1920s,0.0126,0.0477,0.2274,0.0103,0.1859,0.0062,11.34,0.8,0.98,Very Low (<$0.30),14.0,0.0108,0,heavy,1,1.3,0.0082,0.0044,1.0,17.4,18.046
1928,Argentina,ARG,ARS,Latin America,1920s,0.0131,0.0496,0.2405,0.0108,0.1983,0.0064,11.79,3.97,4.85,Very Low (<$0.30),14.0,0.0113,0,heavy,1,1.17,0.0074,0.0057,1.0,17.1,18.3626
1929,Argentina,ARG,ARS,Latin America,1920s,0.0128,0.0485,0.235,0.0103,0.1891,0.0061,11.52,-2.29,-4.63,Very Low (<$0.30),14.0,0.011,0,heavy,1,1.27,0.008,0.0048,1.0,17.1,18.3626
1930,Argentina,ARG,ARS,Latin America,1930s,0.013,0.0492,0.2444,0.0108,0.2031,0.0061,11.7,1.56,4.85,Very Low (<$0.30),14.0,0.0112,0,heavy,1,1.19,0.0075,0.0055,1.0,16.7,18.8024
1931,Argentina,ARG,ARS,Latin America,1930s,0.0137,0.0519,0.283,0.0108,0.2231,0.0068,12.33,5.38,0.0,Very Low (<$0.30),14.0,0.0118,0,heavy,1,0.65,0.0041,0.0096,1.0,15.2,20.6579
1932,Argentina,ARG,ARS,Latin America,1930s,0.0137,0.0519,0.314,0.011,0.2521,0.0066,12.33,0.0,1.85,Very Low (<$0.30),14.0,0.0118,0,heavy,1,0.87,0.0055,0.0082,1.0,13.7,22.9197
1933,Argentina,ARG,ARS,Latin America,1930s,0.0145,0.0549,0.3502,0.0116,0.2802,0.007,13.05,5.84,5.45,Very Low (<$0.30),14.0,0.0125,0,heavy,1,0.67,0.0042,0.0103,1.0,13.0,24.1538
1934,Argentina,ARG,ARS,Latin America,1930s,0.0149,0.0564,0.3491,0.0119,0.2789,0.0072,13.41,2.76,2.59,Very Low (<$0.30),14.0,0.0128,0,heavy,1,1.0,0.0063,0.0086,1.0,13.4,23.4328
1935,Argentina,ARG,ARS,Latin America,1930s,0.0155,0.0587,0.3553,0.0128,0.2934,0.0075,13.95,4.03,7.56,Very Low (<$0.30),14.0,0.0133,0,heavy,1,0.97,0.0061,0.0094,1.0,13.7,22.9197
1936,Argentina,ARG,ARS,Latin America,1930s,0.016,0.0606,0.3614,0.0128,0.2892,0.0077,14.4,3.23,0.0,Very Low (<$0.30),14.0,0.0138,0,heavy,1,1.09,0.0069,0.0091,1.0,13.9,22.5899
1937,Argentina,ARG,ARS,Latin America,1930s,0.0162,0.0613,0.3532,0.0134,0.2922,0.0079,14.58,1.25,4.69,Very Low (<$0.30),14.0,0.0139,0,heavy,1,1.18,0.0074,0.0088,1.0,14.4,21.8056
1938,Argentina,ARG,ARS,Latin America,1930s,0.0168,0.0636,0.3741,0.0138,0.3073,0.0078,15.12,3.7,2.99,Very Low (<$0.30),14.0,0.0144,0,heavy,1,1.13,0.0071,0.0097,1.0,14.1,22.2695
1939,Argentina,ARG,ARS,Latin America,1930s,0.0176,0.0666,0.3976,0.0146,0.3298,0.0084,15.84,4.76,5.8,Very Low (<$0.30),14.0,0.0151,0,heavy,1,1.02,0.0064,0.0112,1.0,13.9,22.5899
1940,Argentina,ARG,ARS,Latin America,1940s,0.0184,0.0697,0.4127,0.0153,0.3432,0.0086,16.56,4.55,4.79,Very Low (<$0.30),14.0,0.0158,0,heavy,1,1.02,0.0064,0.012,1.0,14.0,22.4286
1941,Argentina,ARG,ARS,Latin America,1940s,0.0181,0.0685,0.3866,0.0145,0.3097,0.0086,16.29,-1.63,-5.23,Very Low (<$0.30),14.0,0.0156,0,heavy,1,1.14,0.0072,0.0109,1.0,14.7,21.3605
1942,Argentina,ARG,ARS,Latin America,1940s,0.0185,0.07,0.3564,0.0155,0.2986,0.009,16.65,2.21,6.9,Very Low (<$0.30),14.0,0.0159,0,heavy,1,1.19,0.0075,0.011,1.0,16.3,19.2638
